threat_condition,source_condition,christian,conservative_political_beliefs_normalized,authoritarian_answers_total,religious_beliefs_total,religious_evaluative_bias_total,threatened,article_quality,article_convinvingness,gender,age,employment,income,education,religious_affiliation,political_party,ethnicity,marital_status,article_comprehension,god_belief,certain_of_god_belief,religious_importance,religious_attendance,prayer_frequency,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,attention_check_1,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,political_beliefs_religious_1,political_beliefs_religious_2,political_beliefs_religious_3,political_beliefs_religious_4,political_beliefs_conservative_5,political_beliefs_conservative_6,political_beliefs_conservative_7,political_beliefs_conservative_8,attention_check_2,political_beliefs_9,political_beliefs_10,political_beliefs_11,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,purpose_guess,guess_certainty,start_time,end_time,total_time
2,2,1,-4.43555565,1,14,24,2,10,11,2,50,1,12,9,7,2,1,1,1,2,9,2,1,1,2,2,2,2,3,3,3,2,2,4,4,4,4,1,4,5,2,2,2,2,3,2,1,1,1,0,1,0,0,Attitudes towards the current political climate,2,2018-06-21-18-31,2018-06-21-18-37,6
2,1,1,-7.031773093,2,30,23,1,14,16,1,51,1,6,7,5,2,1,3,1,1,14,5,3,6,5,5,5,5,5,5,3,1,1,4,3,3,3,1,5,1,4,1,1,1,3,2,1,2,2,1,1,0,0,Do i think the country should adhere to traditional value?,4,2018-06-08-18-36,2018-06-08-18-44,8
1,2,1,0.3134537553,3,25,18,2,12,13,1,51,1,9,10,7,2,1,3,1,1,14,5,2,4,2,5,4,4,5,5,3,3,4,2,4,3,4,4,3,3,2,5,1,2,4,2,28,45,14,1,1,1,0,Do you think Roe v Wade should be overturned? If religious people in the majority will change laws in our country.,3,2018-06-22-03-38,2018-06-22-03-48,10
2,2,1,-9.500324328,3,19,20,1,6,10,2,53,2,2,9,7,2,1,5,1,1,13,5,2,4,4,3,2,2,4,4,3,2,2,4,3,2,3,2,3,2,1,2,1,1,1,2,10,20,2,1,0,1,1,"I think the study was intended to investigate the relative level of religious belief among participants, and their thoughts regarding religion and public policy.",3,2018-06-21-18-01,2018-06-21-18-08,7
1,1,1,4.136303021,2,28,25,2,14,14,1,53,2,6,8,6,3,1,5,1,1,13,4,2,5,4,4,5,5,5,5,3,1,1,5,3,4,3,1,3,1,5,4,1,5,4,2,74,65,58,1,1,0,0,Blind obedience or self thinking,3,2018-06-08-17-02,2018-06-08-17-12,10
2,1,1,4.253002497,3,23,18,1,13,13,2,54,2,2,9,5,3,1,1,1,1,14,5,6,6,4,4,4,4,3,4,3,2,4,3,4,2,3,3,3,2,4,4,3,3,4,2,54,45,55,1,0,1,1,"PEOPLES CHOICE ON RELIGION, POLITICAL ISSUES AND CHILD REARING",3,2018-06-09-17-41,2018-06-09-17-49,8
1,2,1,-4.064786379,2,18,21,2,3,1,2,54,1,2,9,6,3,2,3,1,1,12,1,3,3,3,3,4,3,2,3,3,2,1,3,3,3,3,2,5,1,1,2,1,1,4,2,27,26,46,0,1,0,1,"Well I know the last 4 questions are a standard measure of determination of authoritarian thinking- from an unrelated news story I read a couple of days ago, So that is at least some of whats being looked at.",3,2018-05-30-15-58,2018-05-30-16-05,7
2,1,1,18.06078247,2,30,6,1,6,4,2,54,1,3,5,6,1,1,1,1,1,14,6,5,6,5,5,5,5,5,5,3,5,5,1,1,1,1,5,5,5,5,5,3,5,5,2,100,100,100,1,0,1,0,I believe the study is about religious prejudices and how religion guides our everyday lives.,3,2018-06-12-20-31,2018-06-12-20-39,8
2,1,1,-9.575337752,3,19,22,2,11,11,1,54,1,4,9,6,2,1,3,1,1,9,2,1,1,3,3,4,2,3,4,3,2,3,4,3,4,4,1,3,1,2,2,1,1,2,2,10,1,17,1,1,1,0,Does a person's political view reflect their belief in God.,2,2018-06-09-04-55,2018-06-09-05-04,9
1,1,1,10.81461638,4,27,25,1,14,12,1,55,1,4,5,6,1,1,1,1,1,14,6,5,5,5,5,5,4,4,4,3,3,1,5,5,4,3,4,4,3,5,4,3,4,4,2,90,75,72,1,1,1,1,it was about god and kids haveing respect for other peoplw,5,2018-05-30-19-44,2018-05-30-19-51,7
2,2,1,12.78375415,3,24,22,1,9,16,2,55,1,4,10,7,3,1,1,1,1,14,1,1,1,5,3,3,3,5,5,3,1,1,3,3,3,3,3,5,5,3,5,5,5,5,2,47,53,85,1,0,1,1,How morals reflect religious beliefs,2,2018-06-09-17-25,2018-06-09-17-32,7
1,1,1,-3.336103484,3,25,21,2,10,7,1,55,1,11,10,5,1,1,1,1,1,14,4,1,3,4,4,4,3,5,5,3,2,2,4,3,3,3,1,4,1,2,1,2,1,3,2,60,34,71,1,1,1,0,Peoples views of Roe V Wade and gay marriage,4,2018-06-09-17-05,2018-06-09-17-15,10
1,2,1,-1.008981866,1,27,23,2,13,14,2,58,1,7,9,5,3,1,3,1,1,14,5,5,6,4,5,5,4,5,4,3,2,1,5,3,3,3,3,4,2,4,3,2,3,2,2,29,1,29,0,1,0,0,I think the purpose of the study was political decision making and choices.,4,2018-05-30-00-33,2018-05-30-00-40,7
1,2,1,-6.81897216,1,25,22,1,6,5,1,58,7,10,9,7,2,1,1,1,1,14,4,1,2,4,3,4,4,5,5,3,2,2,3,4,3,4,1,5,1,5,1,1,1,2,2,5,4,2,0,1,0,0,I really don't know.,1,2018-06-12-19-57,2018-06-12-20-06,9
2,2,1,-8.705503071,2,27,27,2,15,13,1,59,1,2,9,5,2,2,3,1,1,14,1,1,5,5,3,5,4,5,5,3,2,2,5,5,4,5,3,4,1,3,1,1,1,1,2,1,1,1,1,0,1,0,"About parenting, is a powerful and difficult balance, because you have to raise your kid to be in the middle of the statements that you asked. I decided between the two, but I could had well decided for the other. Our children need to be curious, self reliable, but respectful, with good manners, a gold heart.",6,2018-06-09-06-05,2018-06-09-06-17,12
2,1,1,15.39745451,3,30,20,2,1,1,2,60,8,2,5,6,1,1,3,1,1,14,6,2,5,5,5,5,5,5,5,3,3,3,3,4,4,3,5,5,5,5,5,5,5,5,2,86,1,84,1,0,1,1,Liberal vs conservative view points,3,2018-05-30-16-09,2018-05-30-16-18,9
1,2,1,7.728554037,3,26,21,2,9,9,2,60,7,2,5,6,3,1,3,1,1,14,5,1,4,5,5,5,3,5,3,3,1,2,3,3,3,3,3,3,4,5,5,3,3,5,2,50,50,50,1,0,1,1,"I have no idea what the study was about, however I do believe that all people have the right to believe in whatever they want to believe in as long as it does not infringe on another's life.",2,2018-06-12-19-17,2018-06-12-19-29,12
2,2,1,-2.856626503,2,24,16,1,12,14,1,60,7,10,10,5,2,1,1,1,1,13,4,1,4,4,3,4,4,4,5,3,3,4,2,3,4,2,2,2,1,1,3,2,2,4,2,45,45,55,0,1,1,0,Correlate beliefs and characteristics with religiosity,3,2018-06-09-06-05,2018-06-09-06-16,11
2,2,1,-1.255824372,3,23,28,1,13,13,1,60,5,12,9,5,2,1,1,1,1,14,6,4,6,5,2,4,4,4,4,3,1,1,4,4,5,5,2,4,1,4,4,2,3,4,2,10,10,10,1,1,1,0,How different personalities perceive current events.,4,2018-06-03-05-12,2018-06-03-05-29,17
2,1,1,1.91573202,2,24,21,2,11,6,1,64,7,7,6,7,2,1,1,1,1,12,4,3,2,4,4,4,4,4,4,3,2,2,4,2,4,3,3,4,2,2,4,4,2,4,2,34,31,38,1,1,0,0,It appears to be a study on religion and politics.  How religious Americans are today.,2,2018-05-30-16-16,2018-05-30-16-26,10
1,2,1,-12.26821156,2,24,24,2,4,2,2,65,1,5,9,6,2,1,1,1,1,13,2,2,5,4,3,4,4,4,5,3,1,1,5,3,3,3,1,1,1,1,1,1,1,1,2,10,4,50,1,1,0,0,How does a person religiousness effect their political views.,4,2018-06-11-19-41,2018-06-11-19-54,13
1,2,1,-5.088283533,1,19,24,1,9,6,2,65,2,8,11,6,3,1,1,1,1,3,4,5,2,4,4,3,1,3,4,3,2,2,4,4,4,4,2,3,1,2,2,1,1,2,2,49,46,46,0,1,0,0,unknown,1,2018-05-30-18-19,2018-05-30-18-25,6
2,2,1,9.780606523,0,24,18,1,13,13,2,66,1,3,9,5,3,4,1,1,1,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,54,65,65,0,0,0,0,i will have an idea of power in to making several consider,4,2018-06-02-15-55,2018-06-02-16-14,19
2,2,1,4.009576088,1,21,20,1,16,1,1,66,7,4,6,5,2,1,2,2,1,14,4,1,4,5,2,3,2,5,4,3,1,4,4,3,3,3,1,3,2,2,4,2,3,5,2,80,80,80,0,1,0,0,If religious beliefs effect political views,3,2018-06-07-01-33,2018-06-07-01-42,9
1,1,1,10.47219,1,22,19,2,7,3,1,69,7,7,10,7,1,1,1,1,1,14,6,5,6,2,2,4,4,5,5,3,1,4,2,4,3,3,5,5,5,3,3,3,3,4,2,75,75,75,1,0,0,0,correlating a person's religious worldview with political opinions,2,2018-06-12-20-00,2018-06-12-20-08,8
2,1,1,1.341706705,2,24,14,1,12,13,2,69,2,8,9,6,1,1,1,1,1,2,4,3,4,4,4,4,4,4,4,3,2,3,1,2,2,2,2,1,4,4,4,2,4,3,2,34,40,47,0,1,1,0,good,5,2018-06-07-18-17,2018-06-07-18-23,6
2,1,1,3.111047853,4,23,17,2,12,12,2,71,2,2,9,7,1,1,1,1,1,4,2,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,3,4,3,3,2,50,51,61,1,1,1,1,It's is an easy to understand,3,2018-06-08-17-07,2018-06-08-17-15,8
1,2,1,15.50103795,1,26,15,2,14,13,1,71,2,4,9,7,1,1,1,1,1,1,6,4,6,5,1,5,5,5,5,3,2,4,3,2,1,3,5,5,4,4,4,4,4,5,2,95,96,95,1,0,0,0,The relationship between religiosity and political/religious views,3,2018-06-22-03-38,2018-06-22-03-50,12
2,2,1,10.00118649,3,25,17,1,14,14,2,74,7,4,10,5,1,1,1,1,1,14,5,5,5,5,5,4,4,3,4,3,2,3,4,2,2,2,4,4,3,4,4,5,4,4,2,65,58,65,1,0,1,1,The main purpose of the study was to find how religious our people are.,5,2018-05-30-19-46,2018-05-30-19-57,11
1,2,1,3.208801453,3,23,15,1,14,12,1,85,1,4,10,5,2,1,1,1,1,13,4,4,4,3,4,4,4,5,3,3,3,4,3,2,2,3,3,2,3,3,3,4,4,3,2,57,43,46,1,0,1,1,well known about the religious purpose,5,2018-06-02-15-57,2018-06-02-16-06,9
1,1,1,1.677715556,3,24,14,1,11,9,1,86,1,5,10,5,2,1,1,1,1,1,5,5,5,4,5,4,4,3,4,3,3,4,2,2,2,3,3,2,3,4,3,3,3,5,2,34,23,20,1,0,1,1,interesting,6,2018-06-11-20-02,2018-06-11-20-09,7
2,2,1,8.387180671,2,22,18,1,14,15,2,55,2,3,9,5,1,1,1,1,1,11,5,3,5,4,3,4,4,4,3,3,2,2,2,3,2,3,4,4,4,3,4,4,3,4,2,93,1,93,1,0,0,1,INVESTIGATION,5,2018-06-12-20-36,2018-06-12-20-45,9
